Page,Component,Data Field,Type,Source Column(s),Formula
/dashboard/companies,Company Selector,Option label,Source,"[Company Name], [NSE Symbol]",
/dashboard/companies,CompanyInfoCard,Company name,Source,[Company Name],
/dashboard/companies,CompanyInfoCard,ISIN,Source,[ISIN],
/dashboard/companies,CompanyInfoCard,NSE Symbol,Source,[NSE Symbol],
/dashboard/companies,CompanyInfoCard,BSE Code,Source,[BSE Scrip Code],
/dashboard/companies,CompanyInfoCard,Sector,Source,[Sector],
/dashboard/companies,CompanyInfoCard,Market Cap,Source,[MCAP],(string parse for display normalisation)
/dashboard/companies,CompanyInfoCard,Fiscal Year label,Calculated,[Year N],"""FY"" + last 2 digits of max([Year N])"
/dashboard/companies,CompanyInfoCard,Pie slice label,Source,[Director Name],
/dashboard/companies,CompanyInfoCard,Pie slice %,Calculated,[Year N Total Remuneration],[Year N Total Remuneration] / sum([Year N Total Remuneration] across all directors) × 100
/dashboard/companies,CompanyInfoCard,Pie slice amount,Source,[Year N Total Remuneration],latest [Year N] row per director
/dashboard/companies,CompanyInfoCard,Pie total label,Calculated,[Year N Total Remuneration],sum([Year N Total Remuneration]) across all directors (latest year)
/dashboard/companies,DirectorTable,Director name,Source,[Director Name],
/dashboard/companies,DirectorTable,DIN,Source,[DIN],
/dashboard/companies,DirectorTable,Designation,Source,[Designation],
/dashboard/companies,DirectorTable,Compensation,Source,[Year N Total Remuneration],latest [Year N] row per director (dedup by DIN)
/dashboard/companies,DirectorDetailsSection — Header,Director name,Source,[Director Name],
/dashboard/companies,DirectorDetailsSection — Header,DIN,Source,[DIN],
/dashboard/companies,DirectorDetailsSection — Header,Designation,Source,[Designation],
/dashboard/companies,DirectorDetailsSection — Header,Company name,Source,[Company Name],
/dashboard/companies,CompensationSummaryCards (B-1),Latest amount,Source,[Year N Total Remuneration],row where [Year N] = max([Year N])
/dashboard/companies,CompensationSummaryCards (B-1),Latest year label,Source,[Year N],
/dashboard/companies,CompensationSummaryCards (B-1),CAGR %,Calculated,[Year N Total Remuneration],(last / first)^(1 / (n − 1)) − 1
/dashboard/companies,CompensationSummaryCards (B-1),Years count,Calculated,[Year N],count([Year N] rows)
